Date,Close
03/25/13,5633.85
03/22/13,5651.35
03/21/13,5658.75
03/20/13,5694.4
03/19/13,5745.95
03/18/13,5835.25
03/15/13,5872.6
03/14/13,5908.95
03/13/13,5851.2
03/12/13,5914.1
03/11/13,5942.35
03/08/13,5945.7
03/07/13,5863.3
03/06/13,5818.6
03/05/13,5784.25
03/04/13,5698.5
03/01/13,5719.7
02/28/13,5693.05
02/27/13,5796.9
02/26/13,5761.35
02/25/13,5854.75
02/22/13,5850.3
02/21/13,5852.25
02/20/13,5943.05
02/19/13,5939.7
02/18/13,5898.2
02/15/13,5887.4
02/14/13,5896.95
02/13/13,5932.95
02/12/13,5922.5
02/11/13,5897.85
02/08/13,5903.5
02/07/13,5938.8
02/06/13,5959.2
02/05/13,5956.9
02/04/13,5987.25
02/01/13,5998.9
01/31/13,6034.75
01/30/13,6055.75
01/29/13,6049.9
01/28/13,6074.8
01/25/13,6074.65
01/24/13,6019.35
01/23/13,6054.3
01/22/13,6048.5
01/21/13,6082.3
01/18/13,6064.4
01/17/13,6039.2
01/16/13,6001.85
01/15/13,6056.6
01/14/13,6024.05
01/11/13,5951.3
01/10/13,5968.65
01/09/13,5971.5
01/08/13,6001.7
01/07/13,5988.4
01/04/13,6016.15
01/03/13,6009.5
01/02/13,5993.25
01/01/13,5950.85
12/31/12,5905.1
12/28/12,5908.35
12/27/12,5870.1
12/26/12,5905.6
12/24/12,5855.75
12/21/12,5847.7
12/20/12,5916.4
12/19/12,5929.6
12/18/12,5896.8
12/17/12,5857.9
12/14/12,5879.6
12/13/12,5851.5
12/12/12,5888
12/11/12,5898.8
12/10/12,5908.9
12/07/12,5907.4
12/06/12,5930.9
12/05/12,5900.5
12/04/12,5889.25
12/03/12,5870.95
11/30/12,5879.85
11/29/12,5825
11/27/12,5727.45
11/26/12,5635.9
11/23/12,5626.6
11/22/12,5627.75
11/21/12,5614.8
11/20/12,5571.55
11/19/12,5571.4
11/16/12,5574.05
11/15/12,5631
11/13/12,5666.95
11/12/12,5683.7
11/09/12,5686.25
11/08/12,5738.75
11/07/12,5760.1
11/06/12,5724.4
11/05/12,5704.2
11/02/12,5697.7
11/01/12,5645.05
10/31/12,5619.7
10/30/12,5597.9
10/29/12,5665.6
10/26/12,5664.3
10/25/12,5705.3
10/23/12,5691.4
10/22/12,5717.15
10/19/12,5684.25
10/18/12,5718.7
10/17/12,5660.25
10/16/12,5648
10/15/12,5687.25
10/12/12,5676.05
10/11/12,5708.05
10/10/12,5652.15
10/09/12,5704.6
10/08/12,5676
10/05/12,5746.95
10/04/12,5787.6
10/03/12,5731.25
10/01/12,5718.8
09/28/12,5703.3
09/27/12,5649.5
09/26/12,5663.45
09/25/12,5673.9
09/24/12,5669.6
09/21/12,5691.15
09/20/12,5554.25
09/18/12,5600.05
09/17/12,5610
09/14/12,5577.65
09/13/12,5435.35
09/12/12,5431
09/11/12,5390
09/10/12,5363.45
09/08/12,5358.7
09/07/12,5342.1
09/06/12,5238.4
09/05/12,5225.7
09/04/12,5274
09/03/12,5253.75
08/31/12,5258.5
08/30/12,5315.05
08/29/12,5287.8
08/28/12,5334.6
08/27/12,5350.25
08/24/12,5386.7
08/23/12,5415.35
08/22/12,5412.85
08/21/12,5421
08/17/12,5366.3
08/16/12,5362.95
08/14/12,5380.35
08/13/12,5347.9
08/10/12,5320.4
08/09/12,5322.95
08/08/12,5338
08/07/12,5336.7
08/06/12,5282.55
08/03/12,5215.7
08/02/12,5227.75
08/01/12,5240.5
07/31/12,5229
07/30/12,5199.8
07/27/12,5099.85
07/26/12,5043
07/25/12,5109.6
07/24/12,5128.2
07/23/12,5117.95
07/20/12,5205.1
07/19/12,5242.7
07/18/12,5216.3
07/17/12,5192.85
07/16/12,5197.25
07/13/12,5227.25
07/12/12,5235.25
07/11/12,5306.3
07/10/12,5345.35
07/09/12,5275.15
07/06/12,5316.95
07/05/12,5327.3
07/04/12,5302.55
07/03/12,5287.95
07/02/12,5278.6
06/29/12,5278.9
06/28/12,5149.15
06/27/12,5141.9
06/26/12,5120.8
06/25/12,5114.65
06/22/12,5146.05
06/21/12,5165
06/20/12,5120.55
06/19/12,5103.85
06/18/12,5064.25
06/15/12,5139.05
06/14/12,5054.75
06/13/12,5121.45
06/12/12,5115.9
06/11/12,5054.1
06/08/12,5068.35
06/07/12,5049.65
06/06/12,4997.1
06/05/12,4863.3
06/04/12,4848.15
06/01/12,4841.6
05/31/12,4924.25
05/30/12,4950.75
05/29/12,4990.1
05/28/12,4985.65
05/25/12,4920.4
05/24/12,4921.4
05/23/12,4835.65
05/22/12,4860.5
05/21/12,4906.05
05/18/12,4891.45
05/17/12,4870.2
05/16/12,4858.25
05/15/12,4942.8
05/14/12,4907.8
05/11/12,4928.9
05/10/12,4965.7
05/09/12,4974.8
05/08/12,4999.95
05/07/12,5114.15
05/04/12,5086.85
05/03/12,5188.4
05/02/12,5239.15
04/30/12,5248.15
04/28/12,5209
