21170.68,556.12,1069.9,330.45,91.35,570.95,567.75,1763,288.6,400.55,95.1,3351.51,256.29,29.2,1023.8,54.5,1207.1,1056.55
21143.01,549.2,1064.25,329.6,88.85,573.15,569.4,1776.85,289.25,400.25,93.45,3276.79,256.1,29.75,999.25,53.55,1143.9,1045.25
21193.58,552.48,1077.65,328.8,89.6,568.85,575.5,1775.4,292.05,404.75,94.75,3314.23,258.21,28.9,1003.15,52.95,1140.75,1053.85
21074.59,544.78,1072.4,329.3,89.7,563.75,570.45,1791.6,292.3,399,95.15,3171.71,257.62,29.45,1001.6,53.65,1132.4,1050.2
21032.71,537.46,1075.65,325.5,86.2,565.7,567.15,1790.85,285.7,399.7,93.2,3176.26,257.27,28.3,1003.55,52.5,1144,1054.85
21101.03,537.46,1075.65,325.5,86.2,565.7,567.15,1790.85,285.7,399.7,93.2,3176.26,257.27,28.3,1003.55,52.5,1144,1054.85
21079.72,549,1068.65,328.25,89.05,565.45,577.15,1804.05,288.55,405.25,92.7,3211.17,256.69,28.05,993.4,52.25,1110.6,1050.9
20708.62,546.07,1061.55,327.9,90.6,567.95,578.8,1809.95,284.35,401.6,90.45,3214.73,255.46,27.65,996.95,51.3,1118.75,1026.15
20859.86,527.12,1061.15,323.35,89.45,554.55,582.85,1780.7,273.6,399.55,87.75,3248.81,255.11,27.3,1002.5,50.85,1081.85,1010.05
20612.14,520.2,1093.5,327.5,91.4,558.45,573.15,1729.4,281,393.05,89.65,3258.6,258.99,27.65,995,51.45,1094,996.55
20659.52,515.28,1063.4,327.4,87.85,557.15,569,1701.85,274.7,387.8,84.9,3234.86,252.9,27.6,1004.4,50.4,1080.55,1000.55
20715.58,521.45,1058.2,314,88.65,557.85,557,1699,276.65,377.15,87.35,3183.04,251.53,27.8,1009.6,50.9,1070.1,1006.2
20925.61,516.23,1049.5,321.05,86.95,561,571.1,1691.6,280.5,377.8,89,3101.05,255.75,27.6,1027.65,51.45,1040.1,1008.15
21171.41,507.97,1065.95,323.5,89.2,563.05,575.35,1718,283.85,381.1,92.35,3225.32,261.8,28.3,1039.35,52.5,1048.45,1021
21255.26,515.53,1080.8,328.15,85.9,565.65,583.95,1751.9,291.75,387.5,95.35,3345.03,266.51,28.3,1048.15,53.2,1061.85,1004.45
21326.42,513.79,1100.25,335.35,87.7,564.35,587.25,1750.2,297.95,388,95.35,3306.07,267.74,28.65,1047.1,53.85,1076.2,1015.05
