6304,321.85,2534.6,347.9,3485.65,1098.75,175.42,2168.19,1766.5,337.98,1262.55,1053.75,274.9,65.69,72.45,17.25,1017.2,61.59,127.52,19339.87
6291.1,322.4,2525.6,348.35,3502.35,1096.7,177.9,2152.21,1764.6,337.58,1246.7,1046.85,272.65,64.7,72.75,17.15,1022.3,61.39,124.73,19236.2
6313.8,322.45,2519.65,351.65,3561.3,1110.25,171.81,2156.81,1770.1,335.95,1246.05,1055.45,273.85,65.1,71.95,16.55,1007.4,62.13,127.22,19384.02
6278.9,320.25,2513.45,354.45,3520.65,1099.65,173.34,2096.56,1753.45,336.1,1244.9,1049.8,270.95,64.9,71.5,16.95,998.75,61.79,126.24,19048.74
6268.4,319.05,2539.55,348,3486.4,1098.85,171.46,2106.95,1759.25,333.98,1237.75,1054.2,272.9,64.41,71.1,16.6,988.65,61.44,125.95,19579.07
6284.5,319.05,2539.55,348,3486.4,1098.85,171.46,2106.95,1759.25,333.98,1237.75,1054.2,272.9,64.41,71.1,16.6,988.65,61.44,125.95,19579.07
6274.25,319.2,2513.4,347.1,3468.45,1098.05,167.79,2105.3,1758.45,337.09,1240.65,1050.65,268.9,64.21,71.75,16.15,986.95,61,125.61,19602.24
6166.65,315.2,2512.7,344,3551.35,1087.7,164.76,2116.78,1751.2,335.36,1237.7,1025.9,266.9,63.52,71.5,15.7,963.75,59.77,120.43,19806.08
6217.15,313.65,2463.5,338.2,3512.25,1063.5,161.24,2077.8,1731.05,332.3,1236.05,1009.65,263.65,61.34,70.05,15.7,960.4,57.81,116.17,19770.23
6139.05,315.55,2468.6,346.15,3457.45,1095.8,162.24,2052.14,1763.4,338.52,1197.45,998.1,263.5,62.33,70.15,15.85,943.4,59.23,117.88,19872.9
6154.7,315.3,2427.25,342.05,3456.35,1098.3,153.06,2041.71,1718.3,330.27,1164.35,1000.55,263.2,60.35,69.4,15.55,924.4,57.56,112.5,19719.59
6168.4,312.8,2400.3,339,3452.25,1097.55,153.61,2015.56,1732.1,330.13,1179.62,1006.55,264.25,61.44,69.7,15.9,913.6,58.5,114.9,19761.74
6237.05,315.3,2400.5,342.05,3373.85,1085,153.31,1998.24,1743.6,333.78,1175.09,1007.55,267.5,61.98,69.05,16.25,921.55,58.79,116.37,19099.98
6307.9,316.8,2403.4,350,3363.85,1132.6,159.91,2025.29,1777,341.43,1174.7,1023.25,268.7,63.47,69.45,16.9,931.5,59.87,119.89,19542.52
6332.85,320.85,2442,350.1,3374.35,1158.35,160.7,2054.39,1796.55,340,1170.37,1004.65,275.4,64.31,70.45,17,941.05,60.56,122.53,19091.69
6363.9,317.9,2453,357.7,3370.85,1158.35,164.17,2079.05,1843.3,345.53,1148.93,1014.15,271.7,64.46,71.75,16.75,950.05,60.46,124.24,18490.05
6259.9,313.05,2454.25,365.4,3338.8,1201.7,170.17,2001.28,1890.85,348.44,1137.54,1028.15,274.55,66.19,70.6,16.5,930.75,62.18,129.23,17712.64
6241.1,311.05,2422.7,364.3,3325.8,1143.9,169.97,1996.74,1859.55,342.17,1120.82,1039.75,271.6,65.79,70,16.25,927.05,61.3,124.68,17807.62
6160.95,308.75,2414.75,358.35,3351.3,1135.85,169.92,1983.62,1855.95,340.39,1103.02,1041.05,272.8,65.1,70.15,16.35,932.45,60.95,120.08,17472.74
6201.85,312.85,2449.85,350.7,3365.35,1066.25,163.23,1996.49,1817.35,335.41,1110.88,1043.75,273.85,63.12,68.9,16.3,931.7,59.48,115.63,17384.75
6217.85,319.2,2466.15,350.05,3348.75,1085.4,162.63,2017.21,1813.5,338.37,1112.67,1041.9,275.6,64.01,68.8,16.6,933.25,59.77,116.37,17243.23
6176.1,321.5,2498.6,345.4,3338.7,1088.3,158.32,2010.32,1822.15,329.39,1126.94,1051.15,276.9,64.26,68.45,16.75,933.95,60.61,118.13,17342.51
6091.85,320.4,2484.8,340,3354.55,1068.65,155.05,2000.78,1819.45,334.17,1080.43,1068.35,277.9,64.11,68.05,16.8,918.55,60.95,117.59,17326.93
6057.1,313.5,2456.75,333.8,3327.8,1038.1,149.69,1981.07,1763.6,327.46,1056.7,1074.5,273.1,62.77,67.75,16.45,915,59.53,114.51,17529.97
6059.1,314.15,2428.2,330.2,3293.3,1042.65,144.93,1982.92,1763.7,324.79,1053.12,1073.2,271.8,62.87,67.15,15.8,919.65,58.99,113.87,17674.39
6115.35,310.75,2411.4,324.85,3316.2,1043.75,146.52,1990.15,1785.25,324.74,1054.32,1061.65,279.15,63.07,66.1,15.4,890.55,58.89,114.66,17646.02
5995.45,316.2,2440.15,347.4,3326,1074.6,143.1,2009.67,1806.65,328.6,1047.6,1052.55,281.15,64.06,66.45,15.65,887.55,60.56,118.96,17133.57
5999.05,308.7,2433.75,332.85,3347.6,1020.55,136.01,1997.29,1737.95,323.91,1044.87,1050.55,280.2,62.68,65.3,15.4,874.55,58.35,116.66,16829.86
6122.9,312.95,2409.55,331.1,3344.35,1030.25,135.76,1983.07,1762.95,317.49,1056.46,1012.95,279.75,64.01,64,15.3,888.6,58.99,118.37,16814.98
6203.35,320.75,2426.2,335.55,3402.2,1049.15,139.82,2020,1795.7,321.04,1081.33,1010.5,279.45,65.2,65.2,15.6,895.9,60.07,123.95,16840.54
6189,323.5,2451.85,345.5,3442.95,1085,140.62,2026.29,1823.4,323.26,1097.05,1030.95,280.7,66.58,65.6,15.9,887.3,61.3,128.05,16961.19
6056.15,326.1,2466.6,352.5,3404.1,1073.65,138.78,2040.36,1767.6,317.19,1090.68,994.45,280.85,65.39,66,15.35,872.6,61.35,127.12,16956.4
5989.6,314.45,2461.6,344.15,3354.25,1052.1,134.67,2022.6,1723.1,316.11,1079.04,981.7,276.45,63.81,64.25,15.1,864.8,60.02,120.08,16502.47
6018.05,314.45,2461.6,344.15,3354.25,1052.1,134.67,2022.6,1723.1,316.11,1079.04,981.7,276.45,63.81,64.25,15.1,864.8,60.02,120.08,16502.47
6078.8,314.15,2470.05,333.2,3332.05,1014.9,132.54,2045.36,1697.05,318.67,1090.53,967.4,272.4,62.92,64.15,15.55,833.05,58.55,115.88,16486.29
6140.75,319.9,2470,339.75,3336.85,1012.75,130.95,2083.44,1672.95,327.51,1091.77,952.85,270.25,63.42,63.4,15.25,836.85,61.2,119.2,16396.51
6187.25,316.65,2470.65,339.1,3362.6,1037.2,133.08,2090.92,1704.35,332.1,1096.35,918.2,266.05,64.01,65.1,16.2,856.5,61.25,121.11,16570.39
6215.15,319.55,2402.3,351.9,3360.05,1049.9,134.57,2087.13,1744.3,335.21,1108.59,916.5,270,66.28,66.1,16.95,866.4,62.82,125.22,16383.22
